Salinity,Generation,Chemical,Gene,ddCT
10,0,Bifenthrin,esr,-1.214555556
10,0,Bifenthrin,igf2,0.738666667
10,0,Bifenthrin,rps6,0.312666667
10,0,Bifenthrin,17bHSD,6.085722222
10,0,Bifenthrin,arx,4.819722222
10,0,Bifenthrin,atp1,4.889833333
10,0,Bifenthrin,atp2,6.640722222
10,0,Bifenthrin,cyp1a1,7.183277778
10,0,Bifenthrin,dnmt3,4.167166667
10,0,Bifenthrin,esr,4.197944444
10,0,Bifenthrin,igf2,5.088166667
10,0,Bifenthrin,rps6,4.602166667
10,0,Bifenthrin,17bHSD,1.069722222
10,0,Bifenthrin,arx,-0.651277778
10,0,Bifenthrin,atp1,-0.503166667
10,0,Bifenthrin,atp2,-0.232277778
10,0,Bifenthrin,cyp1a1,-1.470722222
10,0,Bifenthrin,dnmt3,-0.696833333
10,0,Bifenthrin,esr,2.437944444
10,0,Bifenthrin,igf2,-0.642833333
10,0,Bifenthrin,rps6,0.198166667
10,0,Bifenthrin,17bHSD,2.211722222
10,0,Bifenthrin,arx,0.537722222
10,0,Bifenthrin,atp1,0.012833333
10,0,Bifenthrin,atp2,0.698722222
10,0,Bifenthrin,cyp1a1,-0.772722222
10,0,Bifenthrin,dnmt3,-0.030833333
10,0,Bifenthrin,esr,3.604944444
10,0,Bifenthrin,igf2,0.614166667
10,0,Bifenthrin,rps6,1.182166667
10,0,Bifenthrin,17bHSD,2.473222222
10,0,Bifenthrin,arx,-0.659777778
10,0,Bifenthrin,atp1,-0.404666667
10,0,Bifenthrin,atp2,0.888222222
10,0,Bifenthrin,cyp1a1,-0.115222222
10,0,Bifenthrin,dnmt3,0.597666667
10,0,Bifenthrin,esr,3.773444444
10,0,Bifenthrin,igf2,0.446666667
10,0,Bifenthrin,rps6,0.967666667
10,0,Cyfluthrin,17bHSD,2.778722222
10,0,Cyfluthrin,arx,-0.265277778
10,0,Cyfluthrin,atp1,1.105833333
10,0,Cyfluthrin,atp2,0.207722222
10,0,Cyfluthrin,cyp1a1,-0.705722222
10,0,Cyfluthrin,dnmt3,0.129166667
10,0,Cyfluthrin,esr,-2.796055556
10,0,Cyfluthrin,igf2,0.351166667
10,0,Cyfluthrin,rps6,-0.069833333
10,0,Cyfluthrin,17bHSD,2.146222222
10,0,Cyfluthrin,arx,-0.609777778
10,0,Cyfluthrin,atp1,1.457333333
10,0,Cyfluthrin,atp2,0.350222222
10,0,Cyfluthrin,cyp1a1,-0.940222222
10,0,Cyfluthrin,dnmt3,0.384666667
10,0,Cyfluthrin,esr,-1.299555556
10,0,Cyfluthrin,igf2,0.759666667
10,0,Cyfluthrin,rps6,-0.042333333
10,0,Cyfluthrin,17bHSD,3.329222222
10,0,Cyfluthrin,arx,0.444222222
10,0,Cyfluthrin,atp1,1.412333333
10,0,Cyfluthrin,atp2,0.568222222
10,0,Cyfluthrin,cyp1a1,0.272777778
10,0,Cyfluthrin,dnmt3,0.993666667
10,0,Cyfluthrin,esr,-0.231555556
